UID,Square,Locus,Year,Part,RUD_H,RUD_V,RUD_D,RUD_BT_L,RUD_BT_W,RUD_VW,RUD_DW,d13C,d18O
1,2G86,24,2004,RUD,,,,4.7,4.5,,,-8.62,-4.23
14,5I05,37,2004,RUD,4.9,14.5,18.5,4,3.3,4.2,6.3,-9.11,-2.98
21,5I05,32,2004,RUD,4.6,,,3.5,3.2,4,,-8.89,-3.01
26,5I05,36,2004,RUD,,22.3,,6.1,4.5,,,-9.43,-3.17
27,5I05,37,2004,RUD,5.1,17.9,22.5,4.3,3.5,4.9,,-8.89,-2.96
29,5I05,37,2004,RUD,5.8,,,,4.2,4.8,7.8,-8.79,-2.94
48,5I05,44,2004,RUD,5.1,16.6,22.1,3.6,3.5,5,7.9,-8.06,-2.67
49,5I05,44,2004,RUD,6,22.3,,5.5,4.3,,,-8.21,-3.19
50,5I05,30,2004,RUD,6.2,,,4,3.6,,,-5.38,0.46
59,5I05,46,2004,RUD,3.5,14.6,19.3,2.1,2.5,3.7,,-7.58,-2.23
62,5I05,31,2004,RUD,4.3,15.1,19.3,4.2,3.1,4.4,6.8,-7.13,-0.96
66,5I05,32,2004,RUD,5,,,,,,,-11,-5.31
68,5I05,44,2004,RUD,5,,,4.9,3.2,4.5,7.4,-12.11,-6.99
69,5I05,44,2004,RUD,4.1,14.4,19.5,2.5,2.7,3.9,6.2,-7.87,-2.84
70,5I05,44,2004,RUD,,,,5.4,4.1,5.5,8.8,-7.76,-3.22
71,5I05,44,2004,RUD,4.3,15.4,19.3,4.3,3.4,4.2,6.7,-9.11,-2.54
85,5I05,46,2004,RUD,4.5,,,4.6,3.4,4.6,,-8.14,-2.73
90,5I05,32,2004,RUD,5.7,,,6.7,4.7,,,-7.87,-2.71
95,2E21,3,1998,RUD,2.7,,,2.4,1.6,,,-10.07,-3.97
96,2G87,5,2000,RUD,4.6,22,24.7,5.4,4.2,,,-8.39,-3.24
101,5I05,2,1998,RUD,,,,4.8,3.7,,,-9.15,-2.77
102,2G87,5,2000,RUD,5,17,20.7,5,3.4,4.8,7.5,-9.73,-2.96
103,2G87,5,2000,RUD,5.1,15.6,19.4,4.3,3,4.5,7.1,-8.17,-3.7
108,5I05,10,2000,RUD,5.7,16.9,21.3,5.2,4.3,5.6,7.7,-7.27,-2.05
118,2E22,3,2000,RUD,6.3,24,29.2,3.8,3.6,6.3,9.6,-7.56,-3.13
124,2E21,10,2000,RUD,4.5,15,19.1,3.5,3,4.6,7.3,-7.61,-1.82
127,5I05,10,2000,RUD,3.8,13.8,17.9,3.6,2.5,3.5,5.7,-8.9,-3.11
134,5I05,10,2000,RUD,3.2,,,2.4,2.3,3.1,5.1,-17.43,-9.93
