Spec_ID,Year,xcoord,ycoord
CH001,2012,35.72577222,31.54796944
CH002,2012,35.72577222,31.54796944
CH003,2012,35.72577222,31.54796944
CH004,2012,35.72564444,31.54813611
CH005,2012,35.72564444,31.54813611
CH006,2012,35.72564444,31.54813611
CH007,2012,35.72501389,31.54724722
CH008,2012,35.72501389,31.54724722
CH009,2012,35.72501667,31.54734722
CH010,2012,35.72501667,31.54734722
CH011,2012,35.72530833,31.54515278
CH012,2012,35.72527222,31.54445
CH013,2012,35.72488333,31.54463333
CH014,2012,35.7244079,31.54409068
CH015,2012,35.7244079,31.54409068
CH016,2012,35.72395556,31.54363889
CH017,2012,35.72395556,31.54363889
CH018,2012,35.72395556,31.54363889
CH019,2012,35.72337222,31.54328611
CH020,2012,35.72337222,31.54328611
CJeE001,2012,35.91826389,32.18616111
CJeE002,2012,35.92021389,32.18624167
CJeE003,2012,35.9182,32.18670556
CJeE004,2012,35.9182,32.18670556
CJeE005,2012,35.9182,32.18670556
CM001,2011,35.86553758,31.32657186
CM002,2011,35.866025,31.32665278
CM003,2011,35.86604167,31.32665833
CM004,2011,35.866025,31.326825
CM005,2011,35.86656111,31.32649167
CM006,2011,35.86670556,31.32653333
CM007,2011,35.86689444,31.32643333
CM008,2011,35.86779444,31.32511111
CM009,2011,35.8682,31.32475833
CM010,2011,35.8682,31.32475833
CM011,2011,35.86854444,31.32351389
CM012,2011,35.86854444,31.32351389
CM013,2011,35.86841944,31.32193056
CM014,2011,35.867975,31.32157222
CM015,2011,35.86798333,31.3205
CM016,2011,35.86801667,31.32043611
CM017,2011,35.87093333,31.28703056
CM018,2011,35.87218611,31.28680833
CM019,2011,35.87433056,31.28533056
CM020,2011,35.87434722,31.28553889
CM021,2011,35.87455833,31.28512222
CM022,2011,35.87445556,31.28502222
CM023,2011,35.875125,31.2842
CM024,2011,35.875125,31.2842
CM026,2011,35.87633611,31.28392222
CM027,2011,35.86097222,31.29530833
CM028,2011,35.85927778,31.29711667
CM029,2011,35.85995833,31.29806667
CM100,2012,35.87505278,31.28443611
CM101,2012,35.87505278,31.28443611
CM102,2012,35.87558889,31.28395
CM103,2012,35.87558889,31.28395
CM104,2012,35.87558889,31.28395
CM105,2012,35.87558889,31.28395
CM106,2012,35.87598056,31.28395
CM107,2012,35.87611667,31.28385833
CM108,2012,35.87871667,31.28130278
CM109,2012,35.87871667,31.28130278
CM110,2012,35.87862222,31.28220833
CM111,2012,35.86593056,31.32656944
CM112,2012,35.86593056,31.32656944
CM113,2012,35.86593056,31.32656944
CM114,2012,35.86646111,31.32654167
CM115,2012,35.86704722,31.32593056
CM116,2012,35.86704722,31.32593056
CM117,2012,35.86704722,31.32593056
CM118,2012,35.86804167,31.32508056
CM119,2012,35.86835556,31.32460833
