Spec_ID,WadiSystem,Date,Year,Time,Lat,Long,H20Temp,H20pH,Part,Depth,RUD_V,RUD_H,RUD_D,CA_W,CA_H,Age,Sex,State,Handedness,WaterState,Notes,Associated_Water_Sample,HD,d18O_SMOW,d13C_R3C,d18O_R3C
CH001,Wadi Heidan,27/06/12,2012,9:35:00 AM,31 32 52.69,035 43 32.78,26.6,,R3C,0,15.49,5.22,18.92,49.1,37.44,SA,M,Water,Right,Pool,south pool,WH001,,-4.82,-12.94,-4.12
CH002,Wadi Heidan,27/06/12,2012,9:35:00 AM,31 32 52.69,035 43 32.78,26.6,,R3C,0,18.02,6.19,20.39,57.57,44.67,A,F,Water,Right,Pool,"Broken RUD (tip), south pool",WH001,,-4.82,-11.34,-2.64
CH003,Wadi Heidan,27/06/12,2012,9:45:00 AM,31 32 52.69,035 43 32.78,27.2,,R3C,0,15.55,5.67,18.21,47.97,35.46,A,M,Water,Right,Pool,north pool,,,,-11.71,-2.6
CH004,Wadi Heidan,27/06/12,2012,10:25:00 AM,31 32 53.29,035 43 32.32,27.2,,R3C,0,11.84,4.13,14.51,41.88,31.41,SA,F,Water,Right,Pool,west pool,,,,,
CH005,Wadi Heidan,27/06/12,2012,10:25:00 AM,31 32 53.29,035 43 32.32,27.2,,NS,0,16.53,5.61,21.17,55.48,40.47,A,F,Water,Right,Pool,"west pool, pregnant",,,,,
CH006,Wadi Heidan,27/06/12,2012,10:25:00 AM,31 32 53.29,035 43 32.32,27.2,,NS,0,15.67,6.03,18.41,51.72,38.15,A,F,Water,Right,Pool,"west pool, pregnant",,,,,
CH007,Wadi Heidan,27/06/12,2012,10:55:00 AM,31 32 50.09,035 43 30.05,27.4,,R3C,0,17.24,6.03,20.11,55.88,41.58,A,F,Water,Left,Pool,,WH002,,-4.95,,
CH008,Wadi Heidan,27/06/12,2012,10:55:00 AM,31 32 50.09,035 43 30.05,27.4,,NS,0,,,,33.94,25.03,J,M,Water,Right,Pool,missing RUD due to conspecific mutilation,,,,,
CH009,Wadi Heidan,27/06/12,2012,11:20:00 AM,31 32 50.45,035 43 30.06,25,,L3C,0,,,,25.57,18.17,SA,M,Water,Right,Pool,,WH003,,-4.95,,
CH010,Wadi Heidan,27/06/12,2012,11:30:00 AM,31 32 50.45,035 43 30.06,25,,R3C,0,24.02,8.08,30.89,69.9,52.31,A,M,Water,Right,Pool,,WH003,,-4.95,,
CH011,Wadi Heidan,28/06/12,2012,8:00:00 AM,31 32 42.55,035 43 31.11,26.4,,R3C,6,9.73,3.52,11.65,34.06,25.16,J,M,Water,Right,Pool,,WH004,,-4.9,,
CH012,Wadi Heidan,28/06/12,2012,8:25:00 AM,31 32 40.02,035 43 30.98,0,,R3C,0,22.83,7.17,25.41,60.93,46.5,A,M,Land/Rock,Right,Pool,,,,,,
CH013,Wadi Heidan,28/06/12,2012,8:30:00 AM,31 32 40.68,035 43 29.58,0,,NS,0,25.59,7.41,27.67,62.4,47.71,A,M,Land,Left,Pool,,,,,,
CH014,Wadi Heidan,28/06/12,2012,8:40:00 AM,,,26.4,,R3C,10,18.93,7.04,21.59,59.65,46.92,A,F,Water,Right,Pool,"Dead, Broken RUD (tip)",,,,,
CH015,Wadi Heidan,28/06/12,2012,8:40:00 AM,,,26.4,,R3C,10,23.55,6.5,26.37,60.11,44.65,A,M,Water,Left,Flowing,,WH005,,-5.36,-12.41,-5.24
CH016,Wadi Heidan,28/06/12,2012,9:25:00 AM,31 32 37.10,035 43 26.24,26.5,,R3C,6,21.44,7.88,26.77,59.86,44.62,A,M,Water,Right,Flowing,,,,,-11.5,-4.66
CH017,Wadi Heidan,28/06/12,2012,9:25:00 AM,31 32 37.10,035 43 26.24,26.5,,R3C,4,12.56,5.14,15.83,45.76,33.5,SA,F,Water,Right,Flowing,,,,,,
