Spec_ID,Year,xcoord,ycoord
WH001,2012,35.72568517,31.54810979
WH002,2012,35.72504257,31.54726638
WH003,2012,35.72504398,31.54735032
WH004,2012,35.72533758,31.54512794
WH005,2012,35.72445473,31.54407247
WJeE001,2012,35.91828876,32.18614912
WJeE002,2012,35.91819569,32.18675681
WM001,2011,35.86661111,31.32643056
WM002,2011,35.8682,31.32475833
WM003,2011,35.86841944,31.32193056
WM004,2011,35.87433056,31.28533056
WM005,2011,35.87508433,31.28425788
WM006,2011,35.86097222,31.29530833
WM007,2011,35.86007592,31.29774676
WM020,2012,35.87508147,31.28443023
WM021,2012,35.87560354,31.28398735
WM022,2012,35.87613469,31.28381455
WM023,2012,35.87876865,31.28130177
WM024,2012,35.87865315,31.28221008
WM025,2012,35.86599093,31.32657999
WM026,2012,35.86648359,31.32652651
WM027,2012,35.86710634,31.32590448
WM028,2012,35.86812214,31.32506448
WM029,2012,35.86840441,31.32461006
